,id,label,fea_1,fea_2,fea_3,int_data,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11
0,1,1,5,1245,3,77000,2,15,5,109,5,151300,244.949
1,2,0,4,1277,1,113000,2,8,-1,100,3,341759,207.174
